CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Poverty,Unemployment
1001,Alabama,Autauga,55221,26745,28476,2.6,75.8,18.5,0.4,1,12.9,7.6
1003,Alabama,Baldwin,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,13.4,7.5
1005,Alabama,Barbour,26932,14497,12435,4.6,46.2,46.7,0.2,0.4,26.7,17.6
1007,Alabama,Bibb,22604,12073,10531,2.2,74.5,21.4,0.4,0.1,16.8,8.3
1009,Alabama,Blount,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,16.7,7.7
1011,Alabama,Bullock,10678,5660,5018,4.4,22.2,70.7,1.2,0.2,24.6,18
1013,Alabama,Butler,20354,9502,10852,1.2,53.3,43.8,0.1,0.4,25.4,10.9
1015,Alabama,Calhoun,116648,56274,60374,3.5,73,20.3,0.2,0.9,20.5,12.3
1017,Alabama,Chambers,34079,16258,17821,0.4,57.3,40.3,0.2,0.8,21.6,8.9
1019,Alabama,Cherokee,26008,12975,13033,1.5,91.7,4.8,0.6,0.3,19.2,7.9
1021,Alabama,Chilton,43819,21619,22200,7.6,80.5,10.2,0.4,0.3,19.1,9.1
1023,Alabama,Choctaw,13395,6382,7013,0.4,55.9,42.9,0,0,23.4,13.6
1025,Alabama,Clarke,25070,11834,13236,0.3,53.4,45.3,0,0.4,24.7,19.4
1027,Alabama,Clay,13537,6671,6866,3.2,79.9,14.4,0.7,0,16.7,9.4
1029,Alabama,Cleburne,15002,7334,7668,2.3,92.5,2.9,0.2,0.4,17,8.3
1031,Alabama,Coffee,50884,25174,25710,6.4,71.5,17.2,0.8,1.2,17.1,7.1
1033,Alabama,Colbert,54444,26303,28141,2.4,78.9,15.6,0.6,0.3,17.4,9
1035,Alabama,Conecuh,12865,6176,6689,1.6,51,44.7,0.3,0,33.8,22.6
1037,Alabama,Coosa,11027,5579,5448,2.1,65.2,30.7,0.1,0,19.3,17
1039,Alabama,Covington,37886,18339,19547,1.5,83.3,13,0.5,0.3,20.2,11.2
1041,Alabama,Crenshaw,13938,6863,7075,1.7,70.5,23.5,0.8,1.8,16.7,9.7
1043,Alabama,Cullman,80965,40081,40884,4.3,92.2,1.1,0.4,0.6,18.5,7.3
1045,Alabama,Dale,49866,24708,25158,6,69.8,19.4,0.5,1.2,19.1,10.9
1047,Alabama,Dallas,42154,19450,22704,0.3,28.6,69.2,0.2,0.3,35,16.4
1049,Alabama,DeKalb,71068,35474,35594,14,80.9,1.8,1.1,0.3,18.7,7.7
1051,Alabama,Elmore,80763,39362,41401,2.8,73.6,21,0.2,0.5,13.6,8.3
1053,Alabama,Escambia,37935,19524,18411,1.2,60.7,33.4,3.2,0.1,24.2,15.6
1055,Alabama,Etowah,103766,50207,53559,3.6,78.5,15.4,0.3,0.7,19.7,9
1057,Alabama,Fayette,16896,8477,8419,0.7,85.3,12,0,0.4,18.3,10
1059,Alabama,Franklin,31634,15311,16323,15.7,78.5,4.1,0.7,0.1,22.5,9.8
1061,Alabama,Geneva,26815,13174,13641,3.6,84,8.7,0.3,1.2,23.2,11.2
1063,Alabama,Greene,8697,4095,4602,0.7,17.8,80.6,0.1,0.2,40.2,20.4
1065,Alabama,Hale,15256,7183,8073,1.1,40,58.2,0.3,0.3,26.8,13.3
1067,Alabama,Henry,17252,8259,8993,2.5,68.3,28.4,0,0,15.6,8.1
1069,Alabama,Houston,103534,49563,53971,3.2,67.7,26.2,0.3,0.8,18.3,8.3
1071,Alabama,Jackson,52860,26076,26784,2.7,89.4,3.1,1.1,0.4,18,10.1
