id,mean,median,Zip_Code
1021,728,733,36067
1024,1113,1124,36067
1027,777,683,36066
2027,1317,1168,99577
4023,627,580,86504
5026,614,579,72042
6029,1503,1424,94608
9029,1401,1338,6830
10022,1052,1010,19938
10210,700,711,36051
10213,478,401,36562
10216,919,911,36567
10219,1198,988,36527
10222,948,906,36527
10225,1014,975,36567
10228,922,834,36580
10231,1054,999,36532
10234,774,709,36535
10237,949,822,36547
10240,842,614,36535
10243,763,732,32506
10246,460,455,36048
10249,672,704,36016
10252,754,696,36027
10255,742,764,35188
10258,594,620,35121
10261,608,592,35031
10264,1095,999,35180
10267,463,345,36053
10270,512,501,36037
10273,743,772,36037
10276,711,671,36033
10279,715,676,36207
10282,495,511,36201
10285,509,414,36201
10288,835,741,36207
10291,572,559,36201
10294,728,723,36206
10297,841,748,36207
11021,2348,1997,20007
13023,525,445,31513
15021,964,977,96781
17029,684,565,62301
18025,600,561,46772
19025,553,462,50841
20217,1102,1034,99508
20227,1350,1365,99508
20237,1133,1113,99517
20247,1482,1483,99507
20257,2638,2347,99516
20267,1075,1002,99701
20277,1184,1163,99701
20287,769,725,99829
20297,1034,997,99672
21029,732,723,42164
23025,689,711,4210
24027,567,550,21502
26021,635,629,49766
27023,670,619,56431
28025,644,615,39120
29024,583,553,63501
30027,565,557,59034
31027,626,578,68901
32027,828,843,89406
33022,760,562,3253
34025,1013,1018,8401
35025,1267,1309,87111
36024,1770,1226,12203
37024,728,751,27217
38024,597,487,58072
39023,682,619,45693
40023,619,592,74960
40213,880,947,85936
40223,990,898,85627
40233,713,648,85615
40243,1209,1104,85635
40253,1247,1212,86004
40263,1381,1385,86004
40273,601,613,86045
40283,1034,968,85554
40293,408,333,85552
41022,687,537,97294
42024,911,867,17306
44027,976,918,2885
45028,533,596,29801
46026,590,520,57350
48028,719,684,75802
49022,726,792,84751
50025,924,851,5443
50216,635,632,72653
50226,796,717,72751
50236,983,969,72756
50246,929,888,72714
50256,668,670,72734
50266,766,772,72745
50276,705,666,72682
50286,679,714,71744
50296,502,495,71640
51024,734,716,23421
53029,679,653,99403
55028,525,423,54806
56024,757,682,82073
60219,1080,918,94607
60229,1145,1059,94607
60239,1316,1245,94611
60249,1432,1463,94602
60259,1199,1161,94606
60269,1324,1349,94602
60279,1065,1044,94601
60289,1245,1245,94606
60299,1276,1220,94621
80210,989,976,80102
80220,1292,1233,80233
80230,1196,1155,80601
80240,1105,1087,80601
80250,1108,1091,80229
80260,1280,1328,80221
80270,1030,1052,80221
80280,1374,1019,80030
80290,936,840,80003
90219,1922,1477,6903
90229,1656,1548,6906
90239,1799,1841,6870
90249,2357,2328,6840
90259,1370,1371,6851
90269,1356,1383,6850
90279,1397,1395,6880
90289,3375,3967,6890
90299,1905,1666,6824
100193,1241,1093,19810
100196,1349,1330,19702
100199,1787,1781,19956
100212,839,866,19901
100222,1142,1020,19980
100232,856,849,19946
100242,1424,1301,19806
