Zip_Code,city,County,State_Code
36067,Prattville,Autauga,1
36066,Prattville,Autauga,1
99577,Eagle River,Aleutians East Borough,2
86504,Fort Defiance,Apache,4
72042,Dewitt,Arkansas,5
94608,Oakland,Alameda,6
6830,Greenwich,Fairfield,9
19938,Clayton,Kent,10
36051,Marbury,Autauga,1
36562,Perdido,Autauga,1
36567,Robertsdale,Autauga,1
36527,Spanish Fort,Autauga,1
36580,Summerdale,Autauga,1
36532,Fairhope,Autauga,1
36535,Foley,Autauga,1
36547,Gulf Shores,Autauga,1
32506,Pensacola,Autauga,1
36048,Louisville,Autauga,1
36016,Clayton,Autauga,1
36027,Eufaula,Autauga,1
35188,Woodstock,Autauga,1
35121,Oneonta,Autauga,1
35031,Blountsville,Autauga,1
35180,Warrior,Autauga,1
36053,Midway,Autauga,1
36037,Greenville,Autauga,1
36033,Georgiana,Autauga,1
36207,Anniston,Autauga,1
36201,Anniston,Autauga,1
36206,Anniston,Autauga,1
20007,Washington,District of Columbia,11
31513,Baxley,Appling,13
96781,Papaikou,Hawaii,15
62301,Quincy,Adams,17
46772,Monroe,Adams,18
50841,Corning,Adair,19
99508,Anchorage,Aleutians East Borough,2
99517,Anchorage,Aleutians East Borough,2
99507,Anchorage,Aleutians East Borough,2
99516,Anchorage,Aleutians East Borough,2
99701,Fairbanks,Aleutians East Borough,2
99829,Hoonah,Aleutians East Borough,2
99672,Sterling,Aleutians East Borough,2
42164,Scottsville,Adair,21
4210,Auburn,Androscoggin,23
21502,Cumberland,Allegany,24
49766,Ossineke,Alcona,26
56431,Aitkin,Aitkin,27
39120,Natchez,Adams,28
63501,Kirksville,Adair,29
59034,Hardin,Beaverhead,30
68901,Hastings,Adams,31
89406,Fallon,Churchill,32
3253,Meredith,Belknap,33
8401,Atlantic City,Atlantic,34
87111,Albuquerque,Bernalillo,35
12203,Albany,Albany,36
27217,Burlington,Alamance,37
58072,Valley City,Adams,38
45693,West Union,Adams,39
74960,Stilwell,Adair,40
85936,St Johns,Apache,4
85627,Pomerene,Apache,4
85615,Hereford,Apache,4
85635,Sierra Vista,Apache,4
86004,Flagstaff,Apache,4
86045,Tuba City,Apache,4
85554,Young,Apache,4
85552,Thatcher,Apache,4
97294,Baker City,Baker,41
17306,Bendersville,Adams,42
2885,Warren,Kent,44
29801,Aiken,Abbeville,45
57350,Huron,Aurora,46
75802,Palestine,Anderson,48
84751,Milford,Beaver,49
5443,Lincoln,Addison,50
72653,Mountain Home,Arkansas,5
72751,Pea Ridge,Arkansas,5
72756,Rogers,Arkansas,5
72714,Bella Vista,Arkansas,5
